State,State & Local Spending,,State & Local Debt,,Gross State Product,,Real State Growth %,,Population (million), a
Alabama,54,g,0,,240,g,1.5,g,4.9,g
Alaska,18,g,0,,57,g,1.7,g,0.7,g
Arizona,66.7,g,0,,382,g,2,g,7.4,g
Arkansas,27.3,g,0,,138,g,1.2,g,3,g
California,623.4,g,0,,3262,g,1.7,g,39.6,g
Colorado,69.9,g,0,,407,g,2.3,g,5.8,g
Connecticut,41.6,g,0,,295,g,1.1,g,3.6,g
Delaware,12.5,g,0,,78,g,0.7,g,1,g
District of Columbia,20.4,g,0,,151,g,1.1,g,0.7,g
Florida,199.6,g,0,,1141,g,1.8,g,21.7,g
Georgia,89.1,g,0,,639,g,1.3,g,10.7,g
Hawaii,18.6,g,0,,101,g,0.8,g,1.4,g
Idaho,15.3,g,0,,84,g,1.8,g,1.8,g
Illinois,153.2,g,0,,928,g,1.1,g,12.6,g
Indiana,59.7,g,0,,388,g,0.7,g,6.8,g
Iowa,37.8,g,0,,200,g,0.7,g,3.2,g
Kansas,30.7,g,0,,178,g,0.7,g,2.9,g
Kentucky,47.7,g,0,,221,g,0.8,g,4.5,g
Louisiana,52.7,g,0,,271,g,0.9,g,4.6,g
Maine,12.7,g,0,,70,g,1.3,g,1.3,g
Maryland,78.1,g,0,,443,g,1.1,g,6.1,g
Massachusetts,95,g,0,,619,g,1.6,g,6.9,g
Michigan,108,g,0,,557,g,0.6,g,10,g
Minnesota,72.9,g,0,,393,g,1,g,5.7,g
Mississippi,29.6,g,0,,123,g,1,g,3,g
Missouri,59.9,g,0,,344,g,1.4,g,6.2,g
Montana,11.4,g,0,,54,g,1.4,g,1.1,g
Nebraska,23.5,g,0,,130,g,0.5,g,1.9,g
Nevada,30.2,g,0,,185,g,1.9,g,3.1,g
New Hampshire,12.7,g,0,,92,g,1.8,g,1.4,g
New Jersey,117,g,0,,667,g,1,g,8.9,g
New Mexico,25.7,g,0,,108,g,2.4,g,2.1,g
New York,369.6,g,0,,1792,g,1.2,g,19.4,g
North Carolina,107,g,0,,610,g,1.5,g,10.6,g
North Dakota,10,g,0,,58,g,1.5,g,0.8,g
Ohio,134.8,g,0,,721,g,1.2,g,11.7,g
Oklahoma,33.3,g,0,,211,g,1.6,g,4,g
Oregon,60,g,0,,262,g,1.8,g,4.3,g
Pennsylvania,152.3,g,0,,842,g,1.5,g,12.8,g
Rhode Island,14.4,g,0,,66,g,1.7,g,1.1,g
South Carolina,52.5,g,0,,257,g,2,g,5.2,g
South Dakota,8.2,g,0,,55,g,0.6,g,0.9,g
Tennessee,62.4,g,0,,395,g,1.5,g,6.9,g
Texas,281,g,0,,1962,g,2.8,g,29.4,g
All states combined,"4,117.00",g,0,,22211,b,1.5,b,330.6,e
Utah,33.7,g,0,,197,g,2.4,g,3.3,g
Vermont,8.4,g,0,,36,g,1.6,g,0.6,g
Virginia,92.1,g,0,,574,g,1.3,g,8.6,g
Washington,94.1,g,0,,628,g,2.4,g,7.7,g
West Virginia,18.5,g,0,,80,g,0.7,g,1.8,g
Wisconsin,62.4,g,0,,358,g,1,g,5.8,g
Wyoming,9.9,g,0,,41,g,2.1,g,0.6,g